"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 23:36:57";0;1;45972983992,2569
"IO_SENSOR1_DATA_RCEa";"11/11/2025 23:36:57";0;1;45972983992,2569
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 23:41:57";0;1;45972987464,7685
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 23:41:57";0;1;45972987464,7685
"IO_SENSOR1_DATA_RCEa";"11/11/2025 23:41:57";0;1;45972987464,7685
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 23:46:57";0;1;45972990937,0255
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 23:46:57";0;1;45972990937,0255
"IO_SENSOR1_DATA_RCEa";"11/11/2025 23:46:57";0;1;45972990937,0255
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 23:51:57";0;1;45972994408,2407
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 23:51:57";0;1;45972994408,2407
"IO_SENSOR1_DATA_RCEa";"11/11/2025 23:51:57";0;1;45972994408,2407
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 23:56:57";0;1;45972997881,5393
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 23:56:57";0;1;45972997881,5393
"IO_SENSOR1_DATA_RCEa";"11/11/2025 23:56:57";0;1;45972997881,5393
"IO_BODY_TEMPERATURE_RCEa";"12/11/2025 0:01:57";0;1;45973001352,8704
"IO_RAW_SENSOR1_DATA_RCEa";"12/11/2025 0:01:57";0;1;45973001352,8704
"IO_SENSOR1_DATA_RCEa";"12/11/2025 0:01:57";0;1;45973001352,8704
"IO_BODY_TEMPERATURE_RCEa";"12/11/2025 0:06:57";0;1;45973004825,4282
"IO_RAW_SENSOR1_DATA_RCEa";"12/11/2025 0:06:57";0;1;45973004825,4282
"IO_SENSOR1_DATA_RCEa";"12/11/2025 0:06:57";0;1;45973004825,4282
"IO_BODY_TEMPERATURE_RCEa";"12/11/2025 0:11:57";0;1;45973008297,6852
"IO_RAW_SENSOR1_DATA_RCEa";"12/11/2025 0:11:57";0;1;45973008297,6852
"IO_SENSOR1_DATA_RCEa";"12/11/2025 0:11:57";0;1;45973008297,6852
"IO_BODY_TEMPERATURE_RCEa";"12/11/2025 0:16:57";0;1;45973011770,0579
"IO_RAW_SENSOR1_DATA_RCEa";"12/11/2025 0:16:57";0;1;45973011770,0579
"IO_SENSOR1_DATA_RCEa";"12/11/2025 0:16:57";0;1;45973011770,0579
"IO_BODY_TEMPERATURE_RCEa";"12/11/2025 0:21:57";0;1;45973015242,3264
"IO_RAW_SENSOR1_DATA_RCEa";"12/11/2025 0:21:57";0;1;45973015242,3264
"IO_SENSOR1_DATA_RCEa";"12/11/2025 0:21:57";0;1;45973015242,3264
"IO_BODY_TEMPERATURE_RCEa";"12/11/2025 0:26:57";0;1;45973018714,0394
"IO_RAW_SENSOR1_DATA_RCEa";"12/11/2025 0:26:57";0;1;45973018714,0394
"IO_SENSOR1_DATA_RCEa";"12/11/2025 0:26:57";0;1;45973018714,0394
"IO_BODY_TEMPERATURE_RCEa";"12/11/2025 0:31:57";0;1;45973022187,2801
"IO_RAW_SENSOR1_DATA_RCEa";"12/11/2025 0:31:57";0;1;45973022187,2801
"IO_SENSOR1_DATA_RCEa";"12/11/2025 0:31:57";0;1;45973022187,2801
